,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF,ylogSalePrice
0,60,RL,6.831327892742091,20.212182313188084,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,15.187526814497952,15.187526814497952,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.059125775508376,Gd,TA,PConc,Gd,TA,No,GLQ,12.170326790619496,Unf,1.0,8.483295642295591,GasA,Ex,Y,SBrkr,1.0,14.698887979000148,2.5409627556327754,1.7304631471189666,Gd,3.6025944687727294,Typ,1.0,No,Attchd,2003.0,RFn,2.194317637875777,11.506270963009685,TA,TA,Y,1.0,1.0,2.194317637875777,15.195323264382047,WD,Normal,15.976590572395713,2.687259219708678,6.7146689026506605,12.24769911637256
1,20,RL,7.221213632878419,20.71220477890197,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,15.145138012244155,15.145138012244155,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,13.062831653433358,Unf,1.0,9.897843946804546,GasA,Ex,Y,SBrkr,1.0,13.792276226358874,2.5409627556327754,1.7304631471189666,TA,3.2596737867230705,Typ,1.7304631471189666,TA,Attchd,1976.0,RFn,2.194317637875777,11.06209830903299,TA,TA,Y,1.0,1.0,3.055641538058108,15.193765294899782,WD,Normal,15.923099981574879,2.3782017963726023,10.010205578972315,12.109016442313738
2,60,RL,6.914940018959451,21.347240908682487,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,15.184403604277843,15.185965540731983,Gable,CompShg,VinylSd,VinylSd,BrkFace,8.646538007903064,Gd,TA,PConc,Gd,TA,Mn,GLQ,11.200342662007953,Unf,1.0,10.917059938656934,GasA,Ex,Y,SBrkr,1.0,14.83208545463177,2.5409627556327754,1.7304631471189666,Gd,3.2596737867230705,Typ,1.7304631471189666,TA,Attchd,2001.0,RFn,2.194317637875777,11.775536258885502,TA,TA,Y,1.0,1.0,3.750250297485029,15.195323264382047,WD,Normal,16.149677653282357,2.687259219708678,6.0533710494211155,12.317171167298682
3,70,RL,6.684506656824126,20.691552676807884,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,15.047528636178493,15.135651502935826,Gable,CompShg,Wd Sdng,Wd Shng,None,1.0,TA,TA,BrkTil,TA,Gd,No,ALQ,9.274265741119429,Unf,1.0,11.468499910096941,GasA,Gd,Y,SBrkr,1.0,14.711364159471431,2.5409627556327754,1.7304631471189666,Gd,3.440268378362637,Typ,1.7304631471189666,Gd,Detchd,1998.0,Unf,2.5409627556327754,11.918252927785405,TA,TA,Y,1.0,1.0,2.194317637875777,15.192206665778837,WD,Abnorml,15.857120810745197,2.194317637875777,10.080098411791417,11.849404844423074
4,60,RL,7.314734756825906,22.32515985291932,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,15.182841004523032,15.182841004523032,Gable,CompShg,VinylSd,VinylSd,BrkFace,10.391827134755262,Gd,TA,PConc,Gd,TA,Av,GLQ,11.971129399749735,Unf,1.0,11.221051196470764,GasA,Ex,Y,SBrkr,1.0,15.480029495615659,2.820334103642824,1.7304631471189666,Gd,3.750250297485029,Typ,1.7304631471189666,TA,Attchd,2000.0,RFn,2.5409627556327754,12.627707599932261,TA,TA,Y,1.0,1.0,4.128238685769432,15.195323264382047,WD,Normal,16.8523115733325,2.687259219708678,9.831513536945508,12.429220196836383
5,50,RL,7.337529394588084,22.282282796539835,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,15.171884182186483,15.175018034740056,Gable,CompShg,VinylSd,VinylSd,None,1.0,TA,TA,Wood,Gd,TA,No,GLQ,12.267216541031873,Unf,1.0,6.80273872401839,GasA,Ex,Y,SBrkr,1.0,14.015962914755876,1.7304631471189666,1.7304631471189666,TA,3.055641538058108,Typ,1.0,No,Attchd,1993.0,Unf,2.194317637875777,11.169007130464756,TA,TA,Y,1.0,12.147538247731708,3.885846472488202,15.196880574832942,WD,Normal,15.421879332825283,2.3782017963726023,10.65390077895301,11.870606902224587
6,20,RL,7.098626104970388,20.907528872852918,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,15.189087426187385,15.19064737641105,Gable,CompShg,VinylSd,VinylSd,Stone,8.944502934774821,Gd,TA,PConc,Ex,TA,Av,GLQ,14.031092624489567,Unf,1.0,10.15574970587587,GasA,Ex,Y,SBrkr,1.0,14.670207259396387,2.5409627556327754,1.7304631471189666,Gd,3.440268378362637,Typ,1.7304631471189666,Gd,Attchd,2004.0,RFn,2.194317637875777,11.89354133302396,TA,TA,Y,1.0,1.0,3.6025944687727294,15.193765294899782,WD,Normal,16.889511511710907,2.5409627556327754,10.118180873967548,12.634606283893019
7,60,RL,1.0,21.023861568757013,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,15.140397821243571,15.140397821243571,Gable,CompShg,HdBoard,HdBoard,Stone,9.511219710154148,TA,TA,CBlock,Gd,TA,Mn,ALQ,12.702248507491014,BLQ,5.597156711708115,9.274265741119429,GasA,Ex,Y,SBrkr,1.0,15.320888266014626,2.5409627556327754,1.7304631471189666,TA,3.440268378362637,Typ,2.194317637875777,TA,Attchd,1973.0,RFn,2.194317637875777,11.189934126006927,TA,TA,Y,1.0,10.391827134755262,4.0113402432628344,15.196880574832942,WD,Normal,16.702021223515466,2.687259219708678,12.019153728720793,12.206077645517674
8,50,RM,6.392276337227255,18.98987134386776,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,15.073383820784445,15.103851511653946,Gable,CompShg,BrkFace,Wd Shng,None,1.0,TA,TA,BrkTil,TA,TA,No,Unf,1.0,Unf,1.0,12.987363555250518,GasA,Gd,Y,FuseF,1.0,14.811378405864021,2.194317637875777,2.194317637875777,TA,3.6025944687727294,Min1,2.194317637875777,TA,Detchd,1931.0,Unf,2.194317637875777,11.105326135535595,Fa,TA,Y,1.0,1.0,2.820334103642824,15.195323264382047,WD,Abnorml,16.173779778858886,2.194317637875777,9.986510387427588,11.774527900858468
9,190,RL,6.357203202420049,19.712543705168287,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,15.086243227218915,15.103851511653946,Gable,CompShg,MetalSd,MetalSd,None,1.0,TA,TA,BrkTil,TA,TA,No,GLQ,12.676515545860786,Unf,1.0,8.338607270038526,GasA,Ex,Y,SBrkr,1.0,13.335431399519656,2.194317637875777,2.194317637875777,TA,3.055641538058108,Typ,2.194317637875777,TA,Attchd,1939.0,RFn,1.7304631471189666,9.158132683068054,Gd,TA,Y,1.0,1.0,1.7304631471189666,15.195323264382047,WD,Normal,15.287616792935944,2.194317637875777,2.820334103642824,11.678448377988165
