,TotalSF,OverallQual,GrLivArea,TotalBath,GarageCars,YearBuilt,YearRemodAdd,TotRmsAbvGrd,GarageArea,Fireplaces,MasVnrArea,LotArea,TotalPorchSF,Neighborhood_NridgHt,GarageYrBlt,ylogSalePrice
0,15.976590572395713,7,14.69888797900015,2.687259219708678,2.194317637875777,2003,2003,3.6025944687727294,11.506270963009687,1.0,9.059125775508376,20.212182313188084,6.7146689026506605,0,2003.0,12.247699116372562
1,15.92309998157488,6,13.792276226358874,2.3782017963726023,2.194317637875777,1976,1976,3.2596737867230705,11.06209830903299,1.7304631471189666,1.0,20.712204778901967,10.010205578972316,0,1976.0,12.109016442313738
2,16.149677653282357,7,14.83208545463177,2.687259219708678,2.194317637875777,2001,2002,3.2596737867230705,11.775536258885502,1.7304631471189666,8.646538007903063,21.34724090868249,6.053371049421116,0,2001.0,12.317171167298682
3,15.857120810745196,7,14.711364159471431,2.194317637875777,2.5409627556327754,1915,1970,3.4402683783626364,11.918252927785403,1.7304631471189666,1.0,20.691552676807888,10.080098411791417,0,1998.0,11.849404844423075
4,16.8523115733325,8,15.48002949561566,2.687259219708678,2.5409627556327754,2000,2000,3.750250297485029,12.627707599932261,1.7304631471189666,10.391827134755262,22.32515985291932,9.831513536945508,0,2000.0,12.429220196836386
5,15.421879332825284,5,14.015962914755876,2.3782017963726023,2.194317637875777,1993,1995,3.055641538058108,11.169007130464756,1.0,1.0,22.282282796539835,10.65390077895301,0,1993.0,11.870606902224589
6,16.889511511710907,8,14.670207259396387,2.5409627556327754,2.194317637875777,2004,2005,3.4402683783626364,11.893541333023961,1.7304631471189666,8.944502934774821,20.90752887285292,10.118180873967548,0,2004.0,12.63460628389302
7,16.702021223515466,7,15.320888266014626,2.687259219708678,2.194317637875777,1973,1973,3.4402683783626364,11.189934126006927,2.194317637875777,9.511219710154148,21.023861568757013,12.019153728720793,0,1973.0,12.206077645517675
8,16.173779778858886,7,14.81137840586402,2.194317637875777,2.194317637875777,1931,1950,3.6025944687727294,11.105326135535595,2.194317637875777,1.0,18.98987134386776,9.986510387427588,0,1931.0,11.774527900858466
9,15.287616792935946,5,13.335431399519653,2.194317637875777,1.7304631471189666,1939,1950,3.055641538058108,9.158132683068056,2.194317637875777,1.0,19.71254370516829,2.8203341036428236,0,1939.0,11.678448377988165
