Id,SalePrice
1461,114877.84237807772
1462,159094.47338037312
1463,182287.07427878643
1464,196986.48042146608
1465,203817.8196631698
1466,167909.7338000272
1467,177430.37305889145
1468,159399.02233582464
1469,203695.08723477417
1470,113781.59780542956
1471,187593.01958838533
1472,100031.90637864235
1473,95734.5376562899
1474,149430.46554204155
1475,112445.81337320767
1476,345674.7624318577
1477,264848.9657402932
1478,292305.8523212712
1479,284507.40898198873
1480,442267.2721785432
1481,338595.0389759863
1482,229255.38171743942
1483,175647.7873375377
1484,158337.23074179838
1485,190121.95073850712
1486,194091.69616357767
1487,308237.81498492067
1488,240879.2079315066
1489,196787.02770033322
1490,218168.8495262475
1491,185466.20302550154
1492,88257.7105867339
1493,190597.1126511503
1494,291183.1942671636
1495,293914.4645929976
1496,216974.46560025503
1497,178522.20528841083
1498,164095.81003557748
1499,164663.57781612183
1500,156645.90845779615
1501,170232.54741358987
1502,148580.2175450173
1503,279455.9315041557
1504,238903.4965316748
1505,223579.3304926815
1506,198536.2608282985
1507,235414.6028830995
1508,199640.01351616482
1509,162124.21985933473
1510,141391.23507234402
1511,140480.9163459132
1512,167463.87908269276
1513,138583.05645684045
1514,157094.33878623968
1515,202536.78096319825
1516,160619.70245951106
1517,190848.34839688527
1518,144490.74231903534
1519,207362.03580183777
1520,122433.48016821241
1521,128111.91921671912
1522,170300.899529681
1523,105634.76056087599
1524,123741.272200769
1525,118653.6075317367
1526,109078.98214913397
1527,98711.01452623021
1528,156640.0977060745
1529,144387.92455700634
1530,198432.379490132
1531,99240.55869574093
1532,98367.27078753336
1533,144017.1750945409
1534,121431.91010375785
1535,158363.59993038568
1536,114374.92533314384
1537,55366.256569787314
1538,154978.65433405776
1539,184605.67171794036
1540,90494.43106471808
1541,141510.59450464515
1542,132857.8665916866
1543,176541.55985218074
1544,82498.51038417548
1545,112713.08512357855
1546,119693.50568348527
1547,129886.57721210865
1548,132345.17213793506
1549,110747.84866647368
1550,123575.4558507691
1551,117486.36758778873
1552,120525.2776686756
1553,133353.09240099395
1554,118798.49439432117
1555,164648.12792663454
1556,89023.86243070684
1557,100726.86622749882
1558,96130.65432081987
1559,74143.49895835551
1560,134705.40050043399
1561,125686.2865088232
1562,126370.15471561524
1563,118435.84299516148
1564,158127.7731411879
1565,143930.8148973078
1566,247369.78122467463
1567,74706.43910427303
1568,209817.08071259968
1569,126314.19674374336
1570,143852.06780474875
1571,119904.05456437054
1572,147062.83269165747
1573,231939.6490503897
1574,120249.53365605332
1575,224001.22894683253
1576,229537.76408834444
1577,177446.87729851442
1578,143926.1640936938
1579,138854.23857987014
1580,189361.4910632467
1581,161680.885316218
1582,121166.62770261389
1583,278649.36192652676
1584,206102.19457598386
1585,131532.67042708004
1586,67300.34258068756
1587,93630.51677110823
1588,153909.2973071069
1589,91102.88045499964
1590,139689.33762184132
1591,89269.81650525396
